,id,lang
304,1028534648488509440,en
305,1090103346407591936,en
306,207620490,en
307,830151760333381633,en
308,1339732959717416961,en
309,1247523439918764034,en
310,1374570690637103104,en
311,39403609,en
312,1519742250221146113,en
313,27061020,en
314,258765378,en
315,30771010,en
316,1191504317414555649,en
317,181714554,en
318,1961103038,en
319,717459451859611648,en
320,4276531,en
321,1235711550800818177,en
322,403883351,en
323,1521875356499824648,en
324,19288656,en
325,1468748752374620164,en
326,370570042,en
327,1247541393121087495,en
328,18336278,en
329,27260183,en
330,1456510026001047552,en
331,41131054,en
332,1422785358987735042,en
333,1496955027428188160,en
334,144449592,en
335,1323376509537583104,en
336,1490814147340218370,en
337,1213841123006763010,en
338,1083153579752312832,en
339,4857336779,en
340,3290125654,en
341,1076161611033968640,en
342,1521976285861318657,en
343,26054138,en
345,1260346345006620673,en
346,1155081164,en
347,999467012580630529,en
348,1331050729323151360,en
349,141423660,en
350,2616124279,en
351,1431031490,en
352,885545527,en
353,145429499,en
354,1275424353740611584,en
355,1030153943605751808,en
356,912179231253135361,en
357,16791534,en
358,1518689379857977344,en
359,1484496808462147594,en
360,998498946757595136,en
361,1322734952543342595,en
362,27734378,en
363,14181659,en
364,1519430085350154240,en
365,2934033050,en
366,16094355,en
367,1518932292793782273,en
368,49406551,en
369,1312727931442036741,en
370,1378356290351738884,en
371,1502046716731838464,en
372,15771003,en
373,1364668422500478977,en
374,777381465797562369,en
375,271432134,en
376,49990050,en
377,3084407464,en
378,1362186522062110720,en
379,22820478,en
380,1244695156218945537,en
381,39757671,en
382,1013927961966280706,en
383,1521368941347676161,en
384,709409779840462848,en
385,716761316476788736,en
386,1263823245746343936,en
387,1354880613795426305,en
388,599073876,en
389,2337734707,en
390,20155140,en
391,1355242367499071505,en
392,1515400074544746496,en
393,1415073882399297542,en
394,244630086,en
395,1518758634334867456,en
396,1498495756793262086,en
397,1316973567549079552,en
398,1325933716028403712,en
399,773636046,en
400,1294019866765275136,en
402,1518981205240299523,en
403,966750366175031297,en
404,1463462957086429185,en
405,982124664657928192,en
407,4553362518,en
408,3384749595,en
409,1033852081256390656,en
410,1370311148856299520,en
412,1424931739345072146,en
413,1419025484395032579,en
414,21536488,en
415,1456991030214070273,en
416,1495240379280592898,en
417,15451219,en
418,1417125620732080128,en
419,364267164,en
420,1420097588481626115,en
421,85997871,en
422,610343689,en
423,536022883,en
424,188787513,en
425,35066685,en
426,375297096,en
427,1365200703090647045,en
428,26607769,en
429,1288225076651995136,en
430,894994323254726656,en
431,1317658906580103168,en
432,1179139314430681088,en
433,280247175,en
434,1050916884,en
435,774131352811675648,en
436,7997312,en
437,1175208338818310146,en
438,748858315,en
440,69892426,en
441,234786485,en
442,994997990002700288,en
443,2366091618,en
444,843952980034383872,en
445,968497006330068992,en
446,1416864999541182467,en
447,47402158,en
448,1370096408838164490,en
449,1023224472340455424,en
450,43402775,en
451,148226677,en
452,825813699944390657,en
453,517903296,en
454,1319461064111697920,en
456,899071259853680640,en
457,24393759,en
458,3166124234,en
459,19383583,en
460,1263955145659998212,en
461,2740061170,en
462,955544175122010114,en
463,129344589,en
464,4840787810,en
465,1037467673108668416,en
466,3017796337,en
467,1230237046767341572,en
468,1415245168110882820,en
469,1332290025833320450,en
470,3308342214,en
471,13753532,en
472,293786612,en
473,64029326,en
474,90008116,en
475,1292967632,en
476,2348070766,en
477,25691978,en
478,209884957,en
479,969905673927516160,en
480,1132733714117480448,en
481,1362067236513529859,en
482,3281863351,en
483,798601214862774272,en
484,1092550866819780608,en
485,912826574621229056,en
486,806368075922685953,en
487,910346820,en
489,14718880,en
490,1416887868430196742,en
491,44241004,en
492,14067608,en
493,1501631467939639300,en
494,373457904,en
495,1467973561012862984,en
496,763938568502775808,en
497,921460621,en
498,765511120723468288,en
499,1012501484519321600,en
500,393007143,en
501,1519357877290291200,en
502,394149441,en
503,3168601011,en
504,1043927541285883906,en
505,1465285926335176705,en
506,1520775417271046145,en
507,406532827,en
508,3306763494,en
509,4568868552,en
510,771072205266583552,en
511,1376989227125243906,en
512,238361045,en
513,2173004186,en
514,381827527,en
515,23800426,en
516,1366203038336053249,en
517,1522996959388356610,en
518,1246532766390345728,en
519,4445616873,en
520,1126290391374938112,en
523,1064384708023218177,en
524,1519000514846990336,en
525,1304866524608557058,en
526,46382479,en
527,1429916821105217567,en
528,197186911,en
529,1301533041215647744,en
530,1291027746324279299,en
531,1143307882148061184,en
532,309466202,en
533,1167478010532061185,en
534,807650288811130880,en
535,1256294405335666691,en
536,1414797463236620291,en
537,21695334,en
538,1161457548,en
539,2204609910,en
540,4833818488,en
541,49113144,en
542,54530049,en
543,273148049,en
544,819234839035580416,en
545,1484551294257963008,en
546,754040136,en
547,82489457,en
548,18955918,en
549,258211078,en
550,3160535143,en
551,19322619,en
552,27451112,en
553,15012486,en
554,67510128,en
555,29011488,en
556,1504258594014994432,en
557,1045807068593246214,en
558,1482927710204841986,en
559,19363363,en
560,758482342000357376,en
561,1264616075334844418,en
562,823981844244955136,en
563,251040359,en
564,964622870214336512,en
565,2282073967,en
566,867913906152292352,en
567,908699601619865600,en
568,1410590302180712448,en
569,497106517,en
